GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tradingsystem,de.rumford.tradingsystem,Rule,12,617,2,52,2,151,2,57,0,31
Tradingsystem,de.rumford.tradingsystem,BaseValue,3,270,0,12,1,62,1,18,1,12
Tradingsystem,de.rumford.tradingsystem,SubSystem,0,572,0,32,0,129,0,40,0,24
Tradingsystem,de.rumford.tradingsystem,VolatilityDifference,0,362,2,30,0,76,2,25,0,11
Tradingsystem,de.rumford.tradingsystem,DiversificationMultiplier.WeightsAndForecasts,0,12,0,0,0,4,0,1,0,1
Tradingsystem,de.rumford.tradingsystem,EWMAC,0,88,0,8,0,25,0,11,0,7
Tradingsystem,de.rumford.tradingsystem,EWMA,5,140,1,5,2,40,1,16,0,14
Tradingsystem,de.rumford.tradingsystem,DiversificationMultiplier,0,245,0,16,0,53,0,21,0,13
Tradingsystem,de.rumford.tradingsystem.helper,ValueDateTupel,8,709,0,106,2,167,0,76,0,23
Tradingsystem,de.rumford.tradingsystem.helper,Validator,0,376,0,76,0,85,0,50,0,12
Tradingsystem,de.rumford.tradingsystem.helper,DateOrder,0,34,0,0,0,2,0,1,0,1
Tradingsystem,de.rumford.tradingsystem.helper,CsvFormat,0,109,0,0,0,19,0,8,0,8
Tradingsystem,de.rumford.tradingsystem.helper,Util,0,378,0,48,0,76,0,33,0,9
Tradingsystem,de.rumford.tradingsystem.helper,DataSource,8,292,1,17,3,70,1,12,0,4
